"","Datetime","Symbol","rv10_ss","open_price","rv5","medrv","rsv_ss","rsv","nobs","rk_th2","bv_ss","rv5_ss","rv10","open_time","open_to_close","close_time","close_price","rk_parzen","bv","rk_twoscale"
"55",2000-04-20,".N225",0.000261759042876366,19041.53,0.000202128106789953,4.76339135493142e-05,0.000111604413194982,0.000111604413194982,275,0.000281959074676346,0.000186465381390965,0.000202128106789953,0.000261759042876366,100102,-0.00146576693749623,160100,19013.64,0.000358667249190914,0.000186465381390965,0.000276342325131171
"56",2000-04-21,".N225",0.00102248419304113,19050.68,0.00172003841761758,0.000136116542384494,0.000835087299329361,0.000835087299329361,275,0.00137285467089776,0.00132416665362923,0.00172003841761758,0.00102248419304112,100100,-0.0391913183091344,160100,18318.5,0.000824630104178761,0.00132416665362923,0.0012791040076982
"57",2000-04-24,".N225",0.000539704969379128,18299.22,0.000402847293954249,0.000135598722482851,0.000155248544995646,0.000155248544995646,275,0.000402380278772421,0.000444454342895926,0.000402847293954249,0.000539704969379128,100502,0.00983874707554122,160502,18480.15,0.000764932066485255,0.000444454342895926,0.000371447999774397
"58",2000-04-25,".N225",0.000345841657934571,18433.3,0.000343429396420004,0.00013458901640815,0.000171313813265554,0.000171313813265554,275,0.000359284398843497,0.000361785856538549,0.000343429396420004,0.000345841657934571,100102,-0.0105023539889508,160101,18240.72,0.000234526301604307,0.000361785856538549,0.000323871662801382
"59",2000-04-26,".N225",0.000222750655389845,18326.9,0.000332955758159236,7.93488228052533e-05,0.000210390753767567,0.000210390753767567,275,0.000301576141184738,0.000253505608821614,0.000332955758159236,0.000222750655389844,100101,-0.00922454679420781,160100,18158.62,0.000176427646197873,0.000253505608821614,0.000322442759164217
"60",2000-04-27,".N225",0.000105283414373062,18122.7,0.000144049552296347,3.80914675552965e-05,6.03782539389339e-05,6.03782539389339e-05,275,0.000141288237374466,0.000119701420809346,0.000144049552296347,0.000105283414373062,100102,-0.00610433135399546,160100,18012.41,8.2144941039341e-05,0.000119701420809346,0.000136251506748761
"61",2000-04-28,".N225",0.000167648870015042,18035.54,0.000174409847607799,4.77450729737706e-05,9.45485797961958e-05,9.45485797961958e-05,275,0.000166167982134115,0.00018904776571849,0.000174409847607799,0.000167648870015042,100101,-0.00427459001751629,160100,17958.61,4.55046036698281e-05,0.00018904776571849,0.000155393325182492
"62",2000-05-01,".N225",0.000116270578355326,18046.93,8.63311609790081e-05,2.38393989123489e-05,2.53522695893935e-05,2.53522695893935e-05,251,8.17359021651852e-05,7.68810974010527e-05,8.63311609790081e-05,0.000116270578355326,102901,0.0195424547003,160454,18403.08,0.000136116037848163,7.68810974010527e-05,7.56924548742469e-05
"63",2000-05-02,".N225",8.96307485785298e-05,18497.52,7.9442108980535e-05,3.08631636552063e-05,4.10825463733434e-05,4.10825463733434e-05,275,7.48616448047837e-05,7.64103267240441e-05,7.9442108980535e-05,8.96307485785298e-05,100102,-0.0032977648967556,160101,18436.62,3.39150996013295e-05,7.64103267240441e-05,7.27405319106076e-05
"64",2000-05-08,".N225",0.000105406063189166,18465.71,7.05352896263968e-05,2.63820289290845e-05,4.72892659680438e-05,4.72892659680437e-05,275,6.4968316549455e-05,5.93056500958587e-05,7.05352896263968e-05,0.000105406063189166,100101,-0.0145625882836509,160101,18198.75,6.42046577884939e-05,5.93056500958587e-05,5.88094177769615e-05
"65",2000-05-09,".N225",0.000110100280717439,18152.37,9.52120637605259e-05,2.37980569820182e-05,6.77120801368068e-05,6.77120801368068e-05,275,7.83143636212398e-05,8.74391056308233e-05,9.52120637605259e-05,0.000110100280717439,100101,-0.0170043665321309,160101,17846.31,9.42097881815825e-05,8.74391056308233e-05,7.37867220795868e-05
"66",2000-05-10,".N225",0.000283845311531558,17799.21,0.00022418627797384,0.000143792618578204,0.000125135703793679,0.000125135703793679,275,0.000218437473984576,0.000251561176225435,0.00022418627797384,0.000283845311531558,100102,-0.00573746826616883,160100,17697.38,0.000292693257155143,0.000251561176225435,0.000187895488733796
"67",2000-05-11,".N225",0.000485832389034479,17605.65,0.000371635378312685,0.000122291092525467,0.000280320085654878,0.000280320085654878,275,0.000389904467719617,0.000356428949517563,0.000371635378312685,0.000485832389034479,100101,-0.0445353136206244,160100,16838.78,0.000530618759382751,0.000356428949517563,0.00036838284381253
"68",2000-05-12,".N225",0.000385396368888549,16963.87,0.000282312590847459,8.24648079669143e-05,8.13805773013839e-05,8.13805773013839e-05,275,0.000289369129804405,0.000315253784126245,0.000282312590847459,0.000385396368888549,100101,0.0209389191368938,160100,17322.82,0.000384715123674111,0.000315253784126245,0.000269401912291068
"69",2000-05-15,".N225",0.000124851797556242,17348.16,0.000126539344081373,2.44880054076028e-05,5.10307874565367e-05,5.10307874565367e-05,266,9.8577541356242e-05,6.64428135080033e-05,0.000126539344081373,0.000124851797556242,101401,-0.00198893084836271,160500,17313.69,6.51607470292365e-05,6.64428135080033e-05,0.000100255568103533
"70",2000-05-16,".N225",8.78278365134032e-05,17342.84,8.92681733365297e-05,4.40517734436421e-05,3.59156181795285e-05,3.59156181795285e-05,275,9.08311613304769e-05,8.95877500577578e-05,8.92681733365297e-05,8.78278365134032e-05,100102,0.0123589915689024,160101,17558.51,7.97794319910292e-05,8.95877500577578e-05,8.19575586165109e-05
"71",2000-05-17,".N225",0.000124519185321857,17588.81,9.51114086435679e-05,3.50896234171377e-05,5.99518399863158e-05,5.99518399863158e-05,275,0.000120914429843014,9.47813624801981e-05,9.51114086435679e-05,0.000124519185321857,100100,-0.0114308327644981,160100,17388.9,9.3857358970337e-05,9.47813624801981e-05,0.000112277819475849
"72",2000-05-18,".N225",0.000226903366922873,17365.09,0.00020646313134144,3.36254173452445e-05,0.000148108856124534,0.000148108856124534,275,0.000200780267971752,0.0001520599412992,0.00020646313134144,0.000226903366922873,100101,-0.0203583330685451,160100,17015.14,0.000223100551578826,0.0001520599412992,0.000186671858996822
"73",2000-05-19,".N225",0.000238481459280265,16960.29,0.000208223676326931,4.27192813990961e-05,0.000150032152393884,0.000150032152393884,275,0.000218401489713164,0.000127561204145483,0.000208223676326931,0.000238481459280265,100101,-0.00601678277135953,160059,16858.55,0.000297122145878351,0.000127561204145483,0.000205840373546457
"74",2000-05-22,".N225",0.000257655570190785,16583.72,0.000189630248168687,7.47656299218873e-05,0.00010522721489501,0.00010522721489501,270,0.000222476702866626,0.000178767042122404,0.000189630248168687,0.000257655570190785,100900,-0.0119935692510786,160347,16386.01,0.000355100502270441,0.000178767042122404,0.000211070270945413
"75",2000-05-23,".N225",0.000242457353718268,16345.26,0.0002012674787611,6.80035432133541e-05,9.94309821333915e-05,9.94309821333915e-05,275,0.00023882446460695,0.000209055896769774,0.0002012674787611,0.000242457353718268,100101,-0.00344852759080716,160100,16288.99,0.00012309584808067,0.000209055896769774,0.000210358587519361
"76",2000-05-24,".N225",0.000622181417545504,16237.88,0.000404504983195522,0.000104253673473176,0.000271875175059553,0.000271875175059553,276,0.00040804784721308,0.000407797524652572,0.000404504983195522,0.000622181417545504,100100,-0.0112317867239415,160059,16056.52,0.000452461382215944,0.000407797524652571,0.000385867635234421
"77",2000-05-25,".N225",0.000214328598254887,16090.36,0.000167102062647932,3.89793575755125e-05,5.81069525687315e-05,5.81069525687315e-05,274,0.000156258601287501,0.000148113597680914,0.000167102062647932,0.000214328598254887,100100,0.00942139518744334,160059,16242.67,0.000150810605339622,0.000148113597680914,0.000145199157359066
"78",2000-05-26,".N225",0.000222254874312209,16219.02,0.000190196190525428,2.64653472715664e-05,0.000131399715628011,0.000131399715628011,275,0.000191113281119107,0.000139205081337979,0.000190196190525428,0.000222254874312209,100100,-0.0121020217866192,160059,16023.92,0.000212685609312039,0.000139205081337979,0.000173010868911415
"79",2000-05-29,".N225",9.23411050045112e-05,16175.33,9.79181464859809e-05,2.86587426733298e-05,3.04292590111922e-05,3.04292590111922e-05,243,8.97612446568809e-05,7.4372542991575e-05,9.79181464859809e-05,9.23411050045112e-05,103700,0.00432501197770385,160422,16245.44,5.59013964573411e-05,7.4372542991575e-05,8.7448202287914e-05
"80",2000-05-30,".N225",0.000168481540679486,16275.96,0.000124398742431896,4.21805294741762e-05,6.43163930429241e-05,6.43163930429241e-05,275,0.000134346329778686,0.00010558825446177,0.000124398742431896,0.000168481540679486,100101,-0.00262263644852645,160101,16233.33,0.000141542267166211,0.00010558825446177,0.000126673187346826
"81",2000-05-31,".N225",0.000375438242774789,16274.14,0.000256329488287112,2.96232129082852e-05,0.000111255346489833,0.000111255346489833,275,0.000246096495258238,0.000252945798287126,0.000256329488287113,0.000375438242774789,100101,0.0037663696032979,160100,16335.55,0.000314577145488393,0.000252945798287126,0.000231665589146607
"82",2000-06-01,".N225",0.000163326032914285,16320.08,0.000128046616900783,3.51272987166547e-05,4.53816333250561e-05,4.53816333250561e-05,275,0.000112672717768105,0.000115938842937577,0.000128046616900783,0.000163326032914285,100100,0.0222409128808803,160059,16687.12,0.000118202204162253,0.000115938842937577,0.000108686183426712
"83",2000-06-02,".N225",0.000231873434843999,16682.25,0.000158032274495274,4.6675790763389e-05,7.43461098591142e-05,7.43461098591142e-05,275,0.000158156663345645,0.000151342694671269,0.000158032274495274,0.000231873434843999,100100,0.00659243776021512,160059,16792.59,0.000132104472213684,0.000151342694671269,0.000132645594912689
